dataset,model,strategy,rank_pr_auc,mean_cv_pr_auc,std_cv_pr_auc,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_recall,std_cv_recall,mean_fit_time,params
paysim,decision_tree,class_weight,1,0.7426176388202591,0.006895695899371668,0.9329420437606131,0.0034532229942960124,0.8671399594320487,0.007099391480730244,1.6715741157531738,"{'model__min_samples_leaf': 20, 'model__max_depth': 12}"
paysim,decision_tree,class_weight,2,0.7125989409536142,0.004907619547981579,0.888811286963372,0.0005160481178348997,0.7778904665314401,0.0010141987829614396,1.6848728656768799,"{'model__min_samples_leaf': 5, 'model__max_depth': None}"
paysim,decision_tree,class_weight,3,0.5858294614570871,0.005497207673896665,0.8574027798006467,0.003548384180685149,0.7150101419878296,0.007099391480730244,1.6931278705596924,"{'model__min_samples_leaf': 1, 'model__max_depth': None}"
paysim,decision_tree,class_weight,4,0.1900560772618926,0.023723692251638076,0.9775263047006789,0.003467286532564451,0.9026369168356998,0.006085192697768749,1.576589584350586,"{'model__min_samples_leaf': 1, 'model__max_depth': 4}"
paysim,decision_tree,smote,1,0.7369516374130178,0.01211925584996415,0.9820911157720038,0.0019993395923832424,0.9523326572008113,0.005070993914807309,4.472362399101257,"{'model__min_samples_leaf': 20, 'model__max_depth': 12}"
paysim,decision_tree,smote,2,0.47617494974817964,0.01673222132337293,0.9654114567807275,0.0035807650928162404,0.90973630831643,0.011156186612576058,5.23581862449646,"{'model__min_samples_leaf': 5, 'model__max_depth': None}"
paysim,decision_tree,smote,3,0.4448001513367049,0.01579511674196421,0.9481915085297332,0.007618294477651555,0.8975659229208925,0.015212981744421927,5.159415125846863,"{'model__min_samples_leaf': 1, 'model__max_depth': None}"
paysim,decision_tree,smote,4,0.1639906307520581,0.008960865767276782,0.986423656471155,0.0023574637773497997,0.9442190669371197,0.0010141987829614951,2.5700420141220093,"{'model__min_samples_leaf': 1, 'model__max_depth': 4}"
paysim,extra_trees,class_weight,1,0.7915298081961016,0.006860295065306721,0.9876751018620094,0.005031168544695985,0.8062880324543611,0.013184584178498993,10.699264764785767,"{'model__n_estimators': 150, 'model__min_samples_leaf': 2, 'model__max_depth': None}"
paysim,extra_trees,class_weight,2,0.6426635200257191,0.004168955024075827,0.978347519242547,0.0035258690927346126,0.8864097363083164,0.0,10.327931642532349,"{'model__n_estimators': 150, 'model__min_samples_leaf': 1, 'model__max_depth': 12}"
paysim,extra_trees,class_weight,3,0.5525440636715591,0.007775545130546735,0.9732875468315813,0.002960681914993768,0.907707910750507,0.007099391480730188,15.107203483581543,"{'model__n_estimators': 250, 'model__min_samples_leaf': 2, 'model__max_depth': 12}"
paysim,extra_trees,class_weight,4,0.3186931544680641,0.009090587518495646,0.9472599710296931,0.00033366070691231986,0.9574036511156186,0.03448275862068961,20.01750886440277,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': 8}"
paysim,extra_trees,smote,1,0.8414227705301341,0.004682597236233543,0.9955091637150508,0.0014207957991946851,0.8955375253549696,0.0030425963488843744,30.927868962287903,"{'model__n_estimators': 150, 'model__min_samples_leaf': 2, 'model__max_depth': None}"
paysim,extra_trees,smote,2,0.6282511490073217,0.017239494689579193,0.9779264608686584,0.0017527372017984155,0.8864097363083164,0.006085192697768749,23.13850474357605,"{'model__n_estimators': 150, 'model__min_samples_leaf': 1, 'model__max_depth': 12}"
paysim,extra_trees,smote,3,0.6026026885658089,0.015612988058698207,0.9760008079335735,0.0008197149925487368,0.9046653144016227,0.010141987829614618,43.46480131149292,"{'model__n_estimators': 250, 'model__min_samples_leaf': 2, 'model__max_depth': 12}"
paysim,extra_trees,smote,4,0.33214498348812554,0.01777004628900497,0.9524863326440994,0.0005736859568380437,0.9533468559837728,0.0304259634888438,41.782862186431885,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': 8}"
paysim,logreg,class_weight,1,0.5972574963065771,0.0048033103789220655,0.9850686507317497,0.0006192731218231384,0.9310344827586207,0.006085192697768749,1.2967536449432373,{'model__C': 0.1}
paysim,logreg,class_weight,2,0.5780704026788898,0.005296529762059188,0.989002660783713,0.0010286029747654246,0.9462474645030425,0.00304259634888443,1.6477431058883667,{'model__C': 1.0}
paysim,logreg,class_weight,3,0.5677653504525879,0.0005593884698756324,0.9895460512487845,0.0009534413525640328,0.9503042596348884,0.0030425963488843744,1.8118155002593994,{'model__C': 3.0}
paysim,logreg,class_weight,4,0.5590727010213088,0.007131815268081654,0.9892534939100923,0.001244056826381179,0.9513184584178499,0.0020283975659228792,1.2989619970321655,{'model__C': 10.0}
paysim,logreg,smote,1,0.6084317575642683,0.004141693967298243,0.9867536524965931,2.2505630399960452e-05,0.9391480730223123,0.004056795131845814,3.0673447847366333,{'model__C': 0.1}
paysim,logreg,smote,2,0.59750776617665,0.01518980244507151,0.9895922337299743,0.0004823841569046583,0.9543610547667343,0.0030425963488843744,3.2108964920043945,{'model__C': 1.0}
paysim,logreg,smote,3,0.5944114684511346,0.014318380686984045,0.9896551018747339,0.0008469018505078973,0.9584178498985801,0.007099391480730244,3.9430962800979614,{'model__C': 3.0}
paysim,logreg,smote,4,0.587691813423989,0.017185262522929845,0.9905436310193855,0.001018524524044273,0.9584178498985801,0.007099391480730244,2.4127135276794434,{'model__C': 10.0}
paysim,random_forest,class_weight,1,0.8727228175225439,0.0019171905029634062,0.9966612114766712,0.001167211673986479,0.7099391480730223,0.0,27.784682869911194,"{'model__n_estimators': 150, 'model__min_samples_leaf': 2, 'model__max_depth': None}"
paysim,random_forest,class_weight,2,0.8252664526854627,0.002693237723184805,0.997680256718634,0.0003278421347372995,0.9503042596348885,0.005070993914807309,66.51903033256531,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': 8}"
paysim,random_forest,class_weight,3,0.818334540425691,0.0060012179710686175,0.9977512067610835,0.0002828013578800581,0.8559837728194726,0.006085192697768749,43.00184500217438,"{'model__n_estimators': 250, 'model__min_samples_leaf': 2, 'model__max_depth': 12}"
paysim,random_forest,class_weight,4,0.8174417235220371,0.007241767707040769,0.9975732863517559,0.00038340894429444994,0.8519269776876268,0.006085192697768804,25.89301860332489,"{'model__n_estimators': 150, 'model__min_samples_leaf': 1, 'model__max_depth': 12}"
paysim,random_forest,smote,1,0.8845627539742176,0.0029761813277291993,0.9992673135537853,6.302061724416941e-05,0.9046653144016228,0.02028397565922918,81.2655018568039,"{'model__n_estimators': 150, 'model__min_samples_leaf': 2, 'model__max_depth': None}"
paysim,random_forest,smote,2,0.8565146158969168,0.001769952625140736,0.9982580505456696,4.279461147038699e-05,0.9594320486815415,0.0020283975659229347,125.72559154033661,"{'model__n_estimators': 250, 'model__min_samples_leaf': 2, 'model__max_depth': 12}"
paysim,random_forest,smote,3,0.8563933471136757,0.00032735912850145876,0.998316438145443,3.151100185067035e-05,0.960446247464503,0.0010141987829614951,69.82068490982056,"{'model__n_estimators': 150, 'model__min_samples_leaf': 1, 'model__max_depth': 12}"
paysim,random_forest,smote,4,0.8300737561607845,0.003120539352480023,0.9977335810197673,0.00025942980953430617,0.9787018255578093,0.005070993914807309,188.1867297887802,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': 8}"
paysim,xgboost,class_weight,1,0.9103232356685913,0.0011484632173518472,0.9995598783865989,1.7071719896510906e-05,0.8438133874239351,0.0020283975659228792,4.453328967094421,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 8, 'model__learning_rate': 0.15}"
paysim,xgboost,class_weight,2,0.9091491722590586,0.0017494809488661223,0.9995324262034488,3.995653045690828e-05,0.8569979716024341,0.011156186612576113,2.792313575744629,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__max_depth': 8, 'model__learning_rate': 0.15}"
paysim,xgboost,class_weight,3,0.8762223057325886,0.004899472412138228,0.9991829658310659,7.741773938463314e-05,0.9421906693711968,0.0010141987829614396,4.215314507484436,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 8, 'model__learning_rate': 0.03}"
paysim,xgboost,class_weight,4,0.8663443798668937,0.0023296195924341068,0.9992963255725741,0.00014935712846109173,0.9908722109533469,0.007099391480730244,3.103192448616028,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__max_depth': 3, 'model__learning_rate': 0.08}"
paysim,xgboost,smote,1,0.9225256624275032,0.003036127519931542,0.9995983099628355,9.950926172785923e-05,0.947261663286004,0.008113590263691683,5.768765091896057,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__max_depth': 8, 'model__learning_rate': 0.15}"
paysim,xgboost,smote,2,0.9209056048139633,0.0020254076957261224,0.9995720548302298,0.00011554433289567845,0.9503042596348884,0.007099391480730244,7.597442150115967,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 8, 'model__learning_rate': 0.15}"
paysim,xgboost,smote,3,0.8976990909059369,0.004675740876680101,0.9991099742189443,8.340703305254049e-05,0.9705882352941176,0.005070993914807254,7.575967907905579,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 8, 'model__learning_rate': 0.03}"
paysim,xgboost,smote,4,0.8712392654394403,0.001728629985166985,0.999233531272826,0.0002710085545433727,0.9908722109533469,0.009127789046653123,4.251959681510925,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__max_depth': 3, 'model__learning_rate': 0.08}"
